Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17863,Accelerando,Charles Stross,"Stross, Charles",,"=""0441014151""","=""9780441014156""",0,3.87,Ace,Mass Market Paperback,415,2006,2005,,2025/12/14,to-read,to-read (#186),to-read,,,recommended by Ian,0,0
355862,Erasure,Percival Everett,"Everett, Percival",,"=""0786888156""","=""9780786888153""",0,4.17,Hyperion,Paperback,280,2002,2001,,2025/12/14,to-read,to-read (#185),to-read,,,,0,0
22328,Neuromancer (Sprawl #1),William Gibson,"Gibson, William",,"=""""","=""""",0,3.89,Ace Books,Mass Market Paperback,271,1985,1984,,2017/02/11,to-read,to-read (#6),to-read,,,,0,0
668019,"Firstborn (Dragonlance:  Elven Nations, #1)",Paul B. Thompson,"Thompson, Paul B.",Tonya C. Cook,"=""0786933674""","=""9780786933679""",0,3.89,Wizards of the Coast,Mass Market Paperback,310,2004,1991,,2017/02/13,forgot,forgot (#98),read,,,,1,0
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"Machado, Carmen Maria",,"=""155597788X""","=""9781555977887""",0,3.80,Graywolf Press,Paperback,248,2017,2017,,2025/07/19,to-read,to-read (#184),to-read,,,,1,0
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",0,4.18,Tor,Hardcover,448,2019,2019,,2025/07/19,to-read,to-read (#183),to-read,,,,0,0
102303,Why Didn't They Ask Evans?,Agatha Christie,"Christie, Agatha",,"=""0312981597""","=""9780312981594""",3,3.91,Minotaur Books,Mass Market Paperback,288,2002,1934,2024/11/08,2024/04/30,,,read,,,,1,0
18910443,The Voyager's Handbook: The Essential Guide to Blue Water Cruising,Beth A. Leonard,"Leonard, Beth A.",,"=""0071784489""","=""9780071784481""",5,4.43,International Marine/Ragged Mountain Press,Kindle Edition,1350,2006,1998,,2017/02/11,,,read,,,,2,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,4.00,Tor Books,Hardcover,384,2006,2006,,2020/11/10,to-read,to-read (#155),to-read,,,,0,0
33356,Jennifer Government,Max Barry,"Barry, Max",,"=""0349117624""","=""9780349117621""",0,3.68,Abacus ,Paperback,335,2004,2002,,2024/04/30,to-read,to-read (#182),to-read,,,,0,0
41315,Syrup,Max Barry,"Barry, Max",,"=""0140291873""","=""9780140291872""",0,3.88,New York : Penguin Books,Paperback,304,2000,1999,,2024/04/30,to-read,to-read (#181),to-read,,,,0,0
57933306,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",3,4.22,Crown,Hardcover,357,2022,2022,,2024/03/19,did-not-finish,did-not-finish (#12),read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",0,4.31,Disney Hyperion Books,Paperback,377,2006,2005,,2024/01/02,to-read,to-read (#180),to-read,,,,0,0
7069,The World According to Garp,John Irving,"Irving, John",,"=""0345915593""","=""9780345915597""",0,4.11,Ballantine Books,Hardcover,610,1999,1978,,2023/12/20,to-read,to-read (#179),to-read,,,,0,0
329783,The Complete Rigger's Apprentice: Tools and Techniques for Modern and Traditional Rigging,Brion Toss,"Toss, Brion",,"=""0070648409""","=""9780070648401""",0,4.34,International Marine/Ragged Mountain Press,Hardcover,416,1997,1997,,2023/11/22,to-read,to-read (#178),to-read,,,,0,0
226004,"A Deepness in the Sky (Zones of Thought, #2)",Vernor Vinge,"Vinge, Vernor",,"=""0812536355""","=""9780812536355""",3,4.32,Tor Science Fiction,Mass Market Paperback,775,2000,1999,2017/06/23,2017/02/11,,,read,,,,2,0
335397,Two Years Before the Mast: A Sailor's Life at Sea,Richard Henry Dana Jr.,"Jr., Richard Henry Dana",,"=""1402179626""","=""9781402179624""",5,4.03,Adamant Media Corporation,Paperback,292,2001,1840,,2023/04/27,,,read,,,,1,0
58437521,The Candy House,Jennifer Egan,"Egan, Jennifer",,"=""1476716765""","=""9781476716763""",0,3.64,Scribner,Hardcover,352,2022,2022,2023/08/28,2023/08/28,did-not-finish,did-not-finish (#11),read,,,,1,0
